City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,kununurra,-15.7667,128.7333,9.99,81,6,0.0,AU,1690295760
84,talnakh,69.4865,88.3972,20.67,56,1,4.68,RU,1690295658
85,avarua,-21.2078,-159.775,22.03,64,75,1.54,CK,1690295541
86,longyearbyen,78.2186,15.6401,11.91,66,40,2.57,SJ,1690295679
87,south mackay,-21.1621,149.1881,19.29,77,97,10.67,AU,1690295761
88,port elizabeth,-33.918,25.5701,18.16,55,0,4.12,ZA,1690295761
89,olonkinbyen,70.9221,-8.7187,5.39,85,69,4.4,SJ,1690295688
90,lebu,-37.6167,-73.65,10.97,82,92,6.02,CL,1690295704
91,bodri,23.1667,81.4333,28.75,69,94,0.49,IN,1690295762
92,leninskoye,41.7589,69.3864,34.58,12,0,5.12,KZ,1690295762
93,kargasok,59.0556,80.8572,18.39,79,71,2.55,RU,1690295763
94,klyuchi,52.2667,79.1667,21.18,50,28,3.1,RU,1690295655
95,melekeok village,7.4957,134.6367,27.31,94,100,1.54,PW,1690295763
96,codrington,-38.2667,141.9667,7.31,91,91,2.81,AU,1690295173
97,kruisfontein,-34.0033,24.7314,16.6,58,0,3.08,ZA,1690295764
98,chadan,51.2833,91.5833,16.66,60,53,1.28,RU,1690295765
99,kirakira,-10.4544,161.9205,25.5,89,91,3.79,SB,1690295765
100,sierra grande,-41.606,-65.3557,8.42,60,54,12.38,AR,1690295765
101,darwin,-12.4611,130.8418,14.99,67,0,2.06,AU,1690295766
102,al bawiti,28.3492,28.8659,38.72,17,0,7.01,EG,1690295186
103,saipan,15.1355,145.701,28.39,100,75,7.2,MP,1690295690
104,remire-montjoly,4.9167,-52.2667,30.02,70,100,1.54,GF,1690295766
105,hamilton,39.1834,-84.5333,26.15,83,0,0.45,US,1690295454
106,hermanus,-34.4187,19.2345,16.56,64,0,2.76,ZA,1690295662
107,fonte boa,-2.4959,-66.2662,32.5,49,42,0.65,BR,1690295767
108,hawaiian paradise park,19.5933,-154.9731,22.73,99,100,1.54,US,1690295641
109,luena,-11.7833,19.9167,27.1,24,0,3.6,AO,1690295768
110,tura,25.5198,90.2201,25.21,91,100,1.63,IN,1690295667
111,kingston,17.997,-76.7936,31.53,61,20,2.06,JM,1690295658
112,owen sound,44.5672,-80.9435,25.54,69,5,1.79,CA,1690295769
113,sitka,57.0531,-135.33,13.94,82,75,2.57,US,1690295770
114,iquique,-20.2208,-70.1431,19.02,68,1,2.84,CL,1690295541
115,ust-nera,64.5667,143.2,14.41,82,100,2.39,RU,1690295770
116,tralee,52.2704,-9.7026,18.14,72,75,3.09,IE,1690295771
117,korla,41.7597,86.1469,33.23,21,93,3.63,CN,1690295771
118,bubaque,11.2833,-15.8333,27.53,75,46,3.85,GW,1690295187
119,anderson,34.5334,-82.6499,29.74,68,0,1.54,US,1690295772
120,tevriz,57.509,72.4042,17.54,88,74,2.53,RU,1690295772
121,afaahiti,-17.75,-149.2833,25.93,82,5,7.27,PF,1690295773
122,tyazhinskiy,56.116,88.524,19.15,73,3,2.8,RU,1690295773
123,san patricio,28.017,-97.5169,31.92,56,0,3.47,US,1690295663
124,puerto santa,-8.9906,-78.6456,21.56,77,96,4.46,PE,1690295774
125,don luan,11.5333,106.9167,23.99,95,97,0.98,VN,1690295547
126,colac,-38.3333,143.5833,7.32,94,89,0.63,AU,1690295775
127,pont rouge,48.8833,-72.0825,21.16,75,50,2.33,CA,1690295775
128,brookings,44.3114,-96.7984,25.81,86,0,5.14,US,1690295363
129,xam nua,20.4197,104.0439,20.81,97,96,0.58,LA,1690295776
130,kasama,-10.2129,31.1808,25.5,22,35,4.28,ZM,1690295776
131,labrador city,52.9463,-66.9114,21.95,49,40,4.12,CA,1690295776
132,jesus maria,-30.9815,-64.0942,14.73,67,100,3.26,AR,1690295777
133,adam,22.3756,57.5233,31.84,51,100,2.2,OM,1690295778
134,uray,60.1247,64.7758,20.49,66,67,1.96,RU,1690295778
135,chibougamau,49.9168,-74.3659,17.79,68,75,2.49,CA,1690295778
136,togur,58.3631,82.8265,19.49,73,97,1.6,RU,1690295779
137,bardai,11.65,7.2333,31.89,45,5,2.92,NG,1690294944
138,whitehorse,60.7161,-135.0538,13.43,87,100,2.57,CA,1690295532
139,san borja,-14.8167,-66.85,25.36,64,100,0.19,BO,1690295780
140,nha trang,12.25,109.1833,28.0,87,88,2.36,VN,1690295780
141,touros,-5.1989,-35.4608,29.24,56,78,8.48,BR,1690295780
142,salinopolis,-0.6136,-47.3561,30.34,60,36,3.32,BR,1690295736
143,galle,6.0367,80.217,26.59,85,98,3.53,LK,1690295781
144,prince rupert,54.3161,-130.3201,12.83,100,100,2.57,CA,1690295645
145,newman,37.3138,-121.0208,20.58,63,5,0.89,US,1690295484
146,ta`u,-14.2336,-169.5144,25.54,71,20,5.3,AS,1690295782
147,kyshtovka,56.555,76.6271,16.41,94,27,3.1,RU,1690295782
148,wewak,-3.5534,143.6268,25.78,90,100,5.74,PG,1690295783
149,doka,13.5167,35.7667,30.45,53,94,4.32,SD,1690295783
150,tindouf,27.6711,-8.1474,44.25,7,0,6.69,DZ,1690295783
151,hasaki,35.7333,140.8333,26.28,88,62,3.74,JP,1690295784
152,island harbour,50.724,-1.2758,21.37,69,77,2.68,GB,1690295784
153,toliara,-23.35,43.6667,21.68,65,4,8.08,MG,1690295784
154,stanley,54.868,-1.6985,17.1,76,75,1.03,GB,1690295785
155,sinabang,2.4803,96.3801,26.9,82,55,1.94,ID,1690295785
156,udachny,66.4167,112.4,16.36,76,96,2.36,RU,1690295785
157,kuanda,56.3161,116.0806,18.7,72,54,1.34,RU,1690295786
158,fort st. john,56.2499,-120.8529,10.94,93,100,3.09,CA,1690295786
159,pacific grove,36.6177,-121.9166,14.32,96,100,4.92,US,1690295786
160,micheweni,-4.9667,39.8333,25.11,74,8,7.0,TZ,1690295787
161,federal,-30.9547,-58.7833,12.39,86,100,4.81,AR,1690295787
162,guerrero negro,27.9769,-114.0611,22.16,70,3,3.68,MX,1690295547
163,qaqortoq,60.7167,-46.0333,6.71,88,100,2.32,GL,1690295699
164,colares,38.7992,-9.4469,26.82,49,0,11.32,PT,1690295788
165,urucara,-2.5364,-57.76,34.48,30,2,1.9,BR,1690295788
166,kamloops,50.6665,-120.3192,13.65,72,75,1.79,CA,1690295637
167,tabas,33.5959,56.9244,42.12,8,0,2.06,IR,1690295789
168,san antonio de pale,-1.4014,5.6325,23.29,81,12,4.27,GQ,1690295789
169,westport,41.1415,-73.3579,29.61,72,20,4.12,US,1690295790
170,amahai,-3.3333,128.9167,26.11,85,83,3.43,ID,1690295791
171,tamandare,-8.7597,-35.1047,26.57,63,47,4.1,BR,1690295791
172,acarau,-2.8856,-40.12,31.52,48,66,6.38,BR,1690295792
173,jackson,42.4165,-122.8345,17.93,73,0,0.45,US,1690295584
174,meads,38.4126,-82.7091,26.07,79,0,1.79,US,1690295793
175,pontes e lacerda,-15.2261,-59.3353,31.39,27,0,1.48,BR,1690295119
176,jianshui,23.6363,102.8264,23.69,74,100,1.77,CN,1690295796
177,coquimbo,-29.9533,-71.3436,14.85,77,0,1.54,CL,1690295552
178,sisimiut,66.9395,-53.6735,7.52,78,41,6.33,GL,1690295796
179,ebon,4.582,168.6964,28.29,76,32,2.51,MH,1690295796
180,broken hill,-31.95,141.4333,8.75,64,0,3.29,AU,1690295698
181,puerto salgar,5.463,-74.6544,33.52,38,71,2.22,CO,1690295797
182,raduzhny,62.0961,77.475,19.42,79,88,1.88,RU,1690295797
183,vilyuysk,63.7553,121.6247,15.43,62,3,2.59,RU,1690295599
184,segovia,41.1667,-4.0,26.35,21,1,4.44,ES,1690295798
185,quesnel,52.9999,-122.5029,11.28,87,0,5.14,CA,1690295799
